ETH_DOLLAR,ETH_BTC,Price_Diff,Volume,Num_of_Trades,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,transactionvalue,marketcap,tweets,google_trends,fee_to_reward,fear_gear_index,Open,High,Low,Close,SMA_7,SMA_30,SMA_100,EMA_200,EMA_8,EMA_50,RSI,macd,macd_signal,macd_hist,ENGULFING,BB_upper,BB_middle,DD_lower
363.3,0.055677,19.389999999999983,244268.20567,137786,538530.0,15543.0,159659.0,3606036188514829.0,295896218514880.0,0.0281,579711835.0,1.658,0.547,0.243,1076.0,36384024187.0,11100.0,5.119,9.984,19,355.48,369.9,350.51,363.3,390.8271428571429,390.8271428571429,390.8271428571429,,391.7341532776097,,15.520267487694388,,,,0,448.21627686623685,399.90400000000005,351.59172313376325
331.81,0.053968,39.920000000000016,264274.13378000003,165093,613892.0,18596.0,196532.0,3582381034002600.0,292140993710760.0,0.0268,651759081.0,0.883,0.307,0.243,1062.0,36078614355.0,10534.0,4.965,6.371,21,363.21,365.87,325.95,331.81,378.5828571428572,378.5828571428572,378.5828571428572,,378.41767477147425,,12.589817794691694,,,,0,447.89555090033497,389.86300000000006,331.83044909966515
317.69,0.050996,28.530000000000033,335634.67243000004,167715,657312.0,20285.0,227510.0,3553788514168699.0,293378993343790.0,0.023,529159972.0,0.246,0.0801,0.242,805.0360000000002,32269210284.0,9562.0,6.523,2.239,18,331.88,332.98,304.45,317.69,365.79428571428576,365.79428571428576,365.79428571428576,,364.92263593336884,,11.537840605736777,,,,0,447.8262556674326,379.59100000000007,311.35574433256755
317.89,0.050382,13.709999999999981,135524.79994,77747,641927.0,19754.0,228037.0,3490940924874600.0,285376836426060.0,0.0233,326067899.0,0.182,0.0595,0.247,507.952,32568568133.0,8468.0,4.833,1.635,18,317.49,327.13,313.42,317.89,352.8085714285715,352.8085714285715,352.8085714285715,,354.4709390592869,,11.650449114247243,,,,0,444.1406376120485,370.3180000000001,296.4953623879517
283.81,0.0454,41.31,307713.22214,141534,694941.0,21954.0,230194.0,3500412716721100.0,285212763906650.0,0.0226,771218453.0,0.234,0.062,0.245,1110.0,31247088861.0,10911.0,8.213,2.238,21,317.96,321.99,280.68,283.81,335.4557142857143,335.4557142857143,335.4557142857143,,338.76850815722315,,9.444288245142353,,,,-100,439.63248460280084,356.94700000000006,274.2615153971993
278.41,0.045008,33.81,485174.37541,221194,690348.0,21862.0,217539.0,3545297260993193.0,286506569622020.0,0.0193,830106469.0,0.229,0.064,0.242,1202.0,26720760966.0,11625.0,10.582,2.634,16,283.81,283.81,250.0,278.41,321.1985714285714,321.1985714285714,321.1985714285714,,325.3555063445069,,9.148669937438779,,,,0,431.41680391506304,344.06700000000006,256.7171960849371
281.12,0.044836,28.149999999999977,438620.64156,198830,648565.0,19765.0,212240.0,3506907055099700.0,283435168990480.0,0.0212,670212922.0,0.261,0.0909,0.241,1033.0,29111661639.0,11032.0,6.807,2.645,18,278.47,304.45,276.3,281.12,310.57571428571424,310.57571428571424,310.57571428571424,,315.5253938235054,,10.660030574325956,,,,0,414.2897964812538,331.30000000000007,248.31020351874633
287.17,0.045424,21.05000000000001,235665.2551,116200,716732.0,22328.0,239564.0,3436675235703700.0,279011407455540.0,0.0216,446854586.0,0.211,0.0597,0.242,623.461,29196197870.0,10612.0,6.257999999999999,2.21,21,281.46,298.6,277.55,287.17,299.69999999999993,299.69999999999993,299.69999999999993,,309.2241951960598,,14.095784568498479,,,,0,389.6251107846736,319.48900000000003,249.35288921532646
317.51,0.04824,33.0,342556.46068,169216,607270.0,20514.0,209386.0,3483034391222500.0,284915149190260.0,0.0236,560297426.0,0.956,0.237,0.247,922.65,30412070294.0,10852.0,6.761,7.27,19,286.84,318.0,285.0,317.51,297.6571428571428,297.6571428571428,297.6571428571428,,311.06548515249096,,28.869141650721915,,,,0,371.6770352912802,313.41900000000004,255.16096470871986
294.11,0.046044,39.539999999999964,384021.38829,170896,627522.0,22512.0,201122.0,3441651450520000.0,280410143006400.0,0.0226,337080814.0,0.213,0.0627,0.245,537.1619999999998,30715362866.0,9317.0,5.622999999999998,1.9,24,317.51,321.33,281.79,294.11,294.28857142857134,294.28857142857134,294.28857142857134,,307.29759956304855,,25.26087900465238,,,,0,359.09735973048925,307.28200000000004,255.46664026951083
299.42,0.0462,19.19999999999999,288483.44841,118166,599660.0,22015.0,194986.0,3468867131969882.0,281972283742180.0,0.022,233807394.0,0.195,0.0312,0.243,389.9,30126073760.0,8761.0,4.3660000000000005,1.6869999999999998,27,294.1,307.4,288.2,299.42,291.65,291.65,291.65,,305.5470218823711,,27.476058966041794,,,,0,336.8262030496312,300.89400000000006,264.9617969503689
270.51,0.043324,34.54000000000002,219153.78936,122863,663769.0,25134.0,218272.0,3494743123831600.0,283814000965380.0,0.0214,424520628.0,0.17800000000000002,0.0312,0.243,639.561,29553109531.0,10237.0,5.03,1.777,26,299.3,304.04,269.5,270.51,289.74999999999994,289.74999999999994,289.74999999999994,,297.761017019622,,23.408188714217868,,,,0,328.3463015292299,294.764,261.18169847077013
281.21,0.043399,16.199999999999992,224701.57671,113749,605639.0,25249.0,178965.0,3516086407212500.0,286133189308860.0,0.0203,408885711.0,0.173,0.0441,0.242,675.1310000000002,28209798490.0,10286.0,5.2010000000000005,1.72,19,270.51,285.9,269.7,281.21,290.15,290.15,290.15,,294.0830132374838,,27.676095132836938,,,,0,321.73924502726624,291.11600000000004,260.49275497273385
